oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Benefon,Vega,1999,Discontinued,null,190,Mini-SIM,Monochrome graphic,null,6 lines,V1,null
Garmin-Asus,nuvifone M10,2010,Discontinued,null,null,Mini-SIM,TFT resistive touchscreen  65K colors,3.5 inches  34.9 cm,480 x 800 pixels  5:3 ratio (~267 ppi density),Accelerometer,Microsoft Windows Mobile 6.5.3 Professional
Gigabyte,GSmart G1305 Boston,2010,Discontinued,null,118,Mini-SIM,TFT capacitive touchscreen  256K colors,3.2 inches  30.5 cm (~46.3% screen-to-body ratio),320 x 480 pixels  3:2 ratio (~180 ppi density),Accelerometer,Android 1.6 (Donut)
Gigabyte,GSmart,null,Cancelled,null,null,Mini-SIM,TFT capacitive touchscreen  256K colors,2.8 inches  24.3 cm (~43.7% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~143 ppi density),Accelerometer,Android 1.6 (Donut)
Google,Pixel 4 XL,2019,2019,null,193,Nano-SIM card & eSIM,P-OLED capacitive touchscreen  16M colors,6.3 inches  98.0 cm (~81.3% screen-to-body ratio),1440 x 3040 pixels  19:9 ratio (~537 ppi density),Face ID  accelerometer  gyro  proximity  compass  barometer,Android 10
Google,Pixel 4,2019,2019,null,162,Nano-SIM card & eSIM,P-OLED capacitive touchscreen  16M colors,5.7 inches  80.7 cm (~79.8% screen-to-body ratio),1080 x 2280 pixels  19:9 ratio (~444 ppi density),Face ID  accelerometer  gyro  proximity  compass  barometer,Android 10
Google,Pixel 3a XL,2019,2019,null,167,Nano-SIM  eSIM,OLED capacitive touchscreen  16M colors,6.0 inches  92.9 cm (~76.3% screen-to-body ratio),1080 x 2160 pixels  18:9 ratio (~402 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass  barometer,Android 9.0 (Pie)  upgradable to Android 10
Google,Pixel 3a,2019,2019,null,147,Nano-SIM,OLED capacitive touchscreen  16M colors,5.6 inches  79.6 cm (~75.0% screen-to-body ratio),1080 x 2220 pixels  18.5:9 ratio (~441 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass  barometer,Android 9.0 (Pie)  upgradable to Android 10
Haier,N60,2005,Discontinued,null,131,Mini-SIM,TFT resistive touchscreen  256K colors,null,320 x 240 pixels  4:3 ratio,V1,Linux
Haier,T3000,2005,Discontinued,null,85,Mini-SIM,65K colors,null,128 x 160 pixels,V1,null
Haier,V280,2005,Discontinued,null,80,Mini-SIM,65K colors,null,128 x 160 pixels,V1,null
Haier,V190,2004,Discontinued,null,90,Mini-SIM,65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Haier,V100,2004,Discontinued,null,90,Mini-SIM,65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Haier,P5,2003,Discontinued,null,75,Mini-SIM,Monochrome,null,64 x 102 pixels  16:10 ratio,V1,null
Haier,Z8000,2004,Discontinued,null,90,Mini-SIM,4096 colors,null,128 x 128 pixels  1:1 ratio,V1,null
