Company with the highest average weight: Lenovo
Phones announced and released in different years:
Benefon Vega - Announced: 1999, Released: Discontinued
Garmin-Asus nuvifone M10 - Announced: 2010, Released: Discontinued
Gigabyte GSmart G1305 Boston - Announced: 2010, Released: Discontinued
Haier N60 - Announced: 2005, Released: Discontinued
Haier T3000 - Announced: 2005, Released: Discontinued
Haier V280 - Announced: 2005, Released: Discontinued
Haier V190 - Announced: 2004, Released: Discontinued
Haier V100 - Announced: 2004, Released: Discontinued
Haier P5 - Announced: 2003, Released: Discontinued
Haier Z8000 - Announced: 2004, Released: Discontinued
HP Slate8 Pro - Announced: 2013, Released: Discontinued
Huawei Ascend Plus - Announced: 2014, Released: Discontinued
Huawei MediaPad 7 Youth - Announced: 2013, Released: Discontinued
Huawei G7002 - Announced: 2010, Released: Discontinued
i-mate PDA2 - Announced: 2004, Released: Discontinued
i-mate Smartphone2 - Announced: 2004, Released: Discontinued
i-mate Smartphone - Announced: 2004, Released: Discontinued
i-mobile 510 - Announced: 2006, Released: Discontinued
i-mobile 315 - Announced: 2007, Released: Discontinued
Icemobile Gravity 4.0 - Announced: 2014, Released: Discontinued
Icemobile Prime 5.5 - Announced: 2014, Released: Discontinued
Icemobile Prime 4.5 - Announced: 2014, Released: Discontinued
Icemobile Gravity Pro - Announced: 2013, Released: Discontinued
Icemobile Quattro - Announced: 2012, Released: Discontinued
Innostream INNO A20 - Announced: 2005, Released: Discontinued
Innostream INNO 75 - Announced: 2004, Released: Discontinued
Innostream INNO 79 - Announced: 2004, Released: Discontinued
Innostream INNO 78 - Announced: 2004, Released: Discontinued
Innostream INNO 30 - Announced: 2004, Released: Discontinued
Innostream INNO 55 - Announced: 2004, Released: Discontinued
Innostream INNO 70 - Announced: 2004, Released: Discontinued
Innostream INNO 99 - Announced: 2004, Released: Discontinued
Innostream INNO 120 - Announced: 2003, Released: Discontinued
Innostream INNO 110 - Announced: 2003, Released: Discontinued
Innostream INNO 100 - Announced: 2003, Released: Discontinued
Kyocera TG 200 - Announced: 2000, Released: Discontinued
LG L20 - Announced: 2014, Released: Discontinued
LG KM338 - Announced: 2008, Released: Discontinued
LG U890 - Announced: 2006, Released: Discontinued
LG P7200 - Announced: 2005, Released: Discontinued
LG B2050 - Announced: 2005, Released: Discontinued
LG M4410 - Announced: 2005, Released: Discontinued
LG M4330 - Announced: 2005, Released: Cancelled
LG M4300 - Announced: 2005, Released: Discontinued
LG F3000 - Announced: 2005, Released: Discontinued
LG F2410 - Announced: 2005, Released: Discontinued
LG F2250 - Announced: 2005, Released: Discontinued
LG U8290 - Announced: 2006, Released: Discontinued
LG U8210 - Announced: 2005, Released: Discontinued
LG U8200 - Announced: 2005, Released: Discontinued
LG B2150 - Announced: 2005, Released: Discontinued
LG B2100 - Announced: 2005, Released: Discontinued
LG B2000 - Announced: 2005, Released: Discontinued
LG F2400 - Announced: 2005, Released: Discontinued
LG F1200 - Announced: 2005, Released: Discontinued
LG F7250 - Announced: 2004, Released: Discontinued
LG C2100 - Announced: 2005, Released: Discontinued
LG G1800 - Announced: 2004, Released: Discontinued
LG G1610 - Announced: 2005, Released: Discontinued
LG G1700 - Announced: 2004, Released: Discontinued
LG F2300 - Announced: 2005, Released: Discontinued
LG F2100 - Announced: 2004, Released: Discontinued
LG L3100 - Announced: 2004, Released: Discontinued
LG C1200 - Announced: 2004, Released: Discontinued
